text,type
"今日の会議は全く無駄だった。実際に手を動かしてみないと何もわからないのに。",ISTP
"プロジェクトが遅れているのは、皆が理論ばかりにこだわって実践を怠っているからだ。",ISTP
"新しい工具を買ったのに、品質が期待外れだった。もっと耐久性のあるものが欲しい。",ISTP
"今日の面接官は理屈ばかりで、実際のスキルや経験を全く見てくれなかった。",ISTP
"チームメンバーが実際にやってみないで文句ばかり言うのは本当に苛立たしい。",ISTP
"システムの問題がなかなか解決しないのは、皆が現場の状況を理解していないからだ。",ISTP
"友人がまた理屈っぽい話ばかりしていて、実際に何もしていない。",ISTP
"新しいガジェットを買ったけど、使い勝手が悪くてがっかりした。",ISTP
"今日のランチミーティングはただの時間の無駄だった。実際に何かを進めるべきだ。",ISTP
"毎回、周りの人が理論ばかりで実践しないのが本当に苛立たしい。もっと行動してほしい。",ISTP
"今日は同僚が仕事をサボってばかりで、全くチームワークが取れなかった。自分が全部やるのはもううんざりだ。",ISTJ
"計画通りに進めていたのに、急に方針変更があった。こういう無計画なやり方には本当に困る。",ISTJ
"仕事のミスが多すぎる。基本的なチェックすらしていないなんて信じられない。",ISTJ
"また上司が新しい規則を追加したけど、現場の実態を全く理解していない。現実的に無理がある。",ISTJ
"同僚がまた遅刻してきた。時間を守るという基本的なことができないなんて理解できない。",ISTJ
"プロジェクトの進捗が遅れているのは、チームメンバーが計画を守らないからだ。",ISTJ
"今日の会議では、全く無駄な話ばかりで何も決まらなかった。時間の無駄だ。",ISTJ
"計画通りに進めるために詳細なスケジュールを立てたのに、誰もそれを守ってくれない。",ISTJ
"新しいシステムが導入されたけど、使い方が全く分からない。もっと実用的なものにしてほしい。",ISTJ
"チームのメンバーが全く責任感を持っていない。全て私がカバーしなければならないのが本当に辛い。",ISTJ
"今日の会議は無駄だった。全く意味のない議論ばかりで、結局何も決まらなかった。こういう無駄な時間は本当に耐えられない。",INTJ
"プロジェクトの進捗が遅いのは、明らかに計画不足だ。私が最初から指揮を執っていれば、こんなことにはならなかった。",INTJ
"新しいアイデアを提案したのに、上司に全く理解されなかった。自分のビジョンを説明するのはいつも難しい。",INTJ
"今日の面接官の態度が本当に腹立たしかった。私の能力を見透かせるのは彼らではない。",INTJ
"チームメンバーが自分のペースについてこれないのは、彼らがもっと努力しないからだ。私に合わせてもらいたい。",INTJ
"新しいシステムの導入が遅れているのは、上層部の決断が遅いからだ。もっと効率的にやってほしい。",INTJ
"友人がまた無駄な噂話をしていた。そんなことに時間を使うのは理解できない。",INTJ
"映画を見に行ったが、筋が浅はかで全く楽しめなかった。もっと知的な内容が欲しい。",INTJ
"今日のランチミーティングはただの時間の無駄だった。重要な話が何も出なかった。",INTJ
"毎回、周りの人が私の提案に追いついてこないのは本当に苛立たしい。もっと革新的な思考を持ってもらいたい。",INTJ
"今日、同僚が体調を崩していて手伝ったけど、結局私が全部やる羽目になった。もう少し協力的になってほしい。",ISFJ
"プロジェクトの締め切りが近いのに、誰も本気で取り組んでいない。最後は私が全部やらなければならないのが目に見えている。",ISFJ
"同僚がまた個人的な理由で早退した。彼の分もカバーするのは本当に大変だ。",ISFJ
"新しいシステムの使い方を誰も教えてくれない。自分で全部調べるのは本当に疲れる。",ISFJ
"チームメンバーがいつも自分の仕事を他人に押し付ける。もう少し自分の責任を持ってほしい。",ISFJ
"プロジェクトの進捗が遅れているのは、みんなが細かいところに気を配らないからだ。",ISFJ
"同僚がまたサボっていた。全員が協力しないとプロジェクトは成功しないのに。",ISFJ
"今日の会議では、全く具体的な話が出なかった。もっと実用的な話をしてほしい。",ISFJ
"仕事のミスが多すぎる。基本的なことすらちゃんとやらないなんて信じられない。",ISFJ
"新しいプロジェクトが始まったけど、誰も詳細な計画を立てていない。これではうまくいかない。",ISFJ
"新しいアイデアを思いついたけど、誰も賛同してくれない。自分のビジョンを理解してくれる人がいなくて寂しい。",INFJ
"プロジェクトの進捗が遅れているのは、チームメンバーが真剣に取り組んでいないからだ。",INFJ
"同僚がまた個人的な理由で早退した。彼の分もカバーするのは本当に大変だ。",INFJ
"新しいシステムの使い方を誰も教えてくれない。自分で全部調べるのは本当に疲れる。",INFJ
"チームメンバーがいつも自分の仕事を他人に押し付ける。もう少し自分の責任を持ってほしい。",INFJ
"プロジェクトの進捗が遅れているのは、みんなが細かいところに気を配らないからだ。",INFJ
"同僚がまたサボっていた。全員が協力しないとプロジェクトは成功しないのに。",INFJ
"今日の会議では、全く具体的な話が出なかった。もっと実用的な話をしてほしい。",INFJ
"仕事のミスが多すぎる。基本的なことすらちゃんとやらないなんて信じられない。",INFJ
"新しいプロジェクトが始まったけど、誰も詳細な計画を立てていない。これではうまくいかない。",INFJ
"今日は友人と深い話をしたのに、相手は全く聞いていなかったように感じる。本当に寂しい。",INFP
"プロジェクトの進捗が遅れているのは、みんなが自分の感情に集中しているからだ。もっと効率的に進めたい。",INFP
"新しいアイデアを思いついたけど、誰も賛同してくれない。自分のビジョンを理解してくれる人がいなくて寂しい。",INFP
"同僚がまた個人的な理由で早退した。彼の分もカバーするのは本当に大変だ。",INFP
"新しいシステムの使い方を誰も教えてくれない。自分で全部調べるのは本当に疲れる。",INFP
"チームメンバーがいつも自分の仕事を他人に押し付ける。もう少し自分の責任を持ってほしい。",INFP
"プロジェクトの進捗が遅れているのは、みんなが細かいところに気を配らないからだ。",INFP
"同僚がまたサボっていた。全員が協力しないとプロジェクトは成功しないのに。",INFP
"今日の会議では、全く具体的な話が出なかった。もっと実用的な話をしてほしい。",INFP
"仕事のミスが多すぎる。基本的なことすらちゃんとやらないなんて信じられない",INFP
"今日の会議は無駄だった。全く意味のない議論ばかりで、結局何も決まらなかった。こういう無駄な時間は本当に耐えられない。",INTJ
"プロジェクトの進捗が遅いのは、明らかに計画不足だ。私が最初から指揮を執っていれば、こんなことにはならなかった。",INTJ
"新しいアイデアを提案したのに、上司に全く理解されなかった。自分のビジョンを説明するのはいつも難しい。",INTJ
"今日の面接官の態度が本当に腹立たしかった。私の能力を見透かせるのは彼らではない。",INTJ
"チームメンバーが自分のペースについてこれないのは、彼らがもっと努力しないからだ。私に合わせてもらいたい。",INTJ
"新しいシステムの導入が遅れているのは、上層部の決断が遅いからだ。もっと効率的にやってほしい。",INTJ
"友人がまた無駄な噂話をしていた。そんなことに時間を使うのは理解できない。",INTJ
"映画を見に行ったが、筋が浅はかで全く楽しめなかった。もっと知的な内容が欲しい。",INTJ
"今日のランチミーティングはただの時間の無駄だった。重要な話が何も出なかった。",INTJ
"毎回、周りの人が私の提案に追いついてこないのは本当に苛立たしい。もっと革新的な思考を持ってもらいたい。",INTJ
"今日は自然の中でリラックスしようと思ったのに、隣の家の工事の音がうるさくて全然集中できなかった。",ISFP
"新しい絵のアイデアを思いついたのに、周りの環境が気になって全然進まなかった。",ISFP
"友人がまた予定を変更した。柔軟に対応したいけど、毎回だと疲れる。",ISFP
"新しい趣味を始めようと思ったけど、道具が揃わなくてスタートできない。",ISFP
"プロジェクトの進捗が遅れているのは、みんなが感覚的に動いているからだ。",ISFP
"チームメンバーがまた感情的になって、話が進まない。もう少し冷静になってほしい。",ISFP
"新しいレシピを試したけど、家族が全然気に入らなかった。もう少し工夫しないと。",ISFP
"今日は写真を撮りに行ったけど、天気が悪くていい写真が撮れなかった。",ISFP
"友人がまた約束を忘れていた。もう少し予定をしっかり覚えておいてほしい。",ISFP
"新しい音楽を作りたいけど、周りの騒音が気になって集中できない。",ISFP
"今日の会議は論理的でなかった。感情に流される議論ばかりで、本質的な解決策が見つからなかった。",INTP
"新しい理論を提案したのに、誰も理解してくれなかった。自分の考えをもっと伝えたい。",INTP
"プロジェクトの進捗が遅れているのは、みんなが細かいところにこだわりすぎるからだ。",INTP
"同僚がまた感情的に対応していた。もっと冷静に問題を解決してほしい。",INTP
"新しいプログラムを書いたのに、バグが多くて全然動かない。",INTP
"友人がまた無駄な噂話をしていた。そんなことに時間を使うのは理解できない。",INTP
"今日のディスカッションでは、全く新しい視点が出なかった。もっと深く考えてほしい。",INTP
"新しい理論を考えたけど、誰も興味を持ってくれなかった。もっと理解してもらいたい。",INTP
"プロジェクトの進捗が遅れているのは、みんなが論理的に考えていないからだ。",INTP
"今日のランチミーティングはただの時間の無駄だった。重要な話が何も出なかった。",INTP
"今日はビジネスの新しいチャンスを見つけたけど、周りの人が全然動いてくれなかった。",ESTP
"プロジェクトの進捗が遅れているのは、みんなが行動力に欠けるからだ。",ESTP
